Protein	Gene	Cluster	Complex	Detected	Abundance_Change	LiP_Change	FiLiP_Change	high_confidence_FiLiP	Gcn5_target	SAGA_transcript
P47093	LSM8	19	LSM1-7-PAT1 complex|3| 8;U4/U6.U5 tri-snRNP complex|2|28;U4/U6 snRNP|2|17;U6 snRNP complex|2| 7;LSM2-8 complex|2| 7;LSM1-7 complex|2| 7;LSM2-7 complex|2| 6	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
P53905	LSM7	19	LSM1-7-PAT1 complex|3| 8;U4/U6.U5 tri-snRNP complex|2|28;U4/U6 snRNP|2|17;U6 snRNP complex|2| 7;LSM2-8 complex|2| 7;LSM1-7 complex|2| 7;LSM2-7 complex|2| 6	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE
P57743	LSM3	19	LSM1-7-PAT1 complex|3| 8;U4/U6.U5 tri-snRNP complex|2|28;U4/U6 snRNP|2|17;U6 snRNP complex|2| 7;LSM2-8 complex|2| 7;LSM1-7 complex|2| 7;LSM2-7 complex|2| 6	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Q06406	LSM6	19	LSM1-7-PAT1 complex|3| 8;U4/U6.U5 tri-snRNP complex|2|28;U4/U6 snRNP|2|17;U6 snRNP complex|2| 7;LSM2-8 complex|2| 7;LSM1-7 complex|2| 7;LSM2-7 complex|2| 6	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
P19735	PRP6	19	LSM1-7-PAT1 complex|3| 8;U4/U6.U5 tri-snRNP complex|2|28;U4/U6 snRNP|2|17;U6 snRNP complex|2| 7;LSM2-8 complex|2| 7;LSM1-7 complex|2| 7;LSM2-7 complex|2| 6	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
P20053	PRP4	19	LSM1-7-PAT1 complex|3| 8;U4/U6.U5 tri-snRNP complex|2|28;U4/U6 snRNP|2|17;U6 snRNP complex|2| 7;LSM2-8 complex|2| 7;LSM1-7 complex|2| 7;LSM2-7 complex|2| 6	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE
P23394	PRP28	19	LSM1-7-PAT1 complex|3| 8;U4/U6.U5 tri-snRNP complex|2|28;U4/U6 snRNP|2|17;U6 snRNP complex|2| 7;LSM2-8 complex|2| 7;LSM1-7 complex|2| 7;LSM2-7 complex|2| 6	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
P32639	BRR2	19	LSM1-7-PAT1 complex|3| 8;U4/U6.U5 tri-snRNP complex|2|28;U4/U6 snRNP|2|17;U6 snRNP complex|2| 7;LSM2-8 complex|2| 7;LSM1-7 complex|2| 7;LSM2-7 complex|2| 6	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
P33334	PRP8	19	LSM1-7-PAT1 complex|3| 8;U4/U6.U5 tri-snRNP complex|2|28;U4/U6 snRNP|2|17;U6 snRNP complex|2| 7;LSM2-8 complex|2| 7;LSM1-7 complex|2| 7;LSM2-7 complex|2| 6	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
P36048	SNU114	19	LSM1-7-PAT1 complex|3| 8;U4/U6.U5 tri-snRNP complex|2|28;U4/U6 snRNP|2|17;U6 snRNP complex|2| 7;LSM2-8 complex|2| 7;LSM1-7 complex|2| 7;LSM2-7 complex|2| 6	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
P38282	SPP381	19	LSM1-7-PAT1 complex|3| 8;U4/U6.U5 tri-snRNP complex|2|28;U4/U6 snRNP|2|17;U6 snRNP complex|2| 7;LSM2-8 complex|2| 7;LSM1-7 complex|2| 7;LSM2-7 complex|2| 6	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
P39990	SNU13	34	Small ribosomal subunit processome, variant 1|6|47;Small ribosomal subunit processome, variant 2|6|47;Small ribosomal subunit processome, variant 3|6|47;Box C/D snoRNP complex|3| 4;U4/U6.U5 tri-snRNP complex|1| 1;U4 snRNP|1| 1;U4/U6 snRNP|1| 1	TRUE	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE
P43589	SAD1	19	LSM1-7-PAT1 complex|3| 8;U4/U6.U5 tri-snRNP complex|2|28;U4/U6 snRNP|2|17;U6 snRNP complex|2| 7;LSM2-8 complex|2| 7;LSM1-7 complex|2| 7;LSM2-7 complex|2| 6	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
P49704	PRP31	19	LSM1-7-PAT1 complex|3| 8;U4/U6.U5 tri-snRNP complex|2|28;U4/U6 snRNP|2|17;U6 snRNP complex|2| 7;LSM2-8 complex|2| 7;LSM1-7 complex|2| 7;LSM2-7 complex|2| 6	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Q00723	PRP38	19	LSM1-7-PAT1 complex|3| 8;U4/U6.U5 tri-snRNP complex|2|28;U4/U6 snRNP|2|17;U6 snRNP complex|2| 7;LSM2-8 complex|2| 7;LSM1-7 complex|2| 7;LSM2-7 complex|2| 6	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Q03338	PRP3	19	LSM1-7-PAT1 complex|3| 8;U4/U6.U5 tri-snRNP complex|2|28;U4/U6 snRNP|2|17;U6 snRNP complex|2| 7;LSM2-8 complex|2| 7;LSM1-7 complex|2| 7;LSM2-7 complex|2| 6	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Q06819	DIB1	19	LSM1-7-PAT1 complex|3| 8;U4/U6.U5 tri-snRNP complex|2|28;U4/U6 snRNP|2|17;U6 snRNP complex|2| 7;LSM2-8 complex|2| 7;LSM1-7 complex|2| 7;LSM2-7 complex|2| 6	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE
Q12368	SNU23	19	LSM1-7-PAT1 complex|3| 8;U4/U6.U5 tri-snRNP complex|2|28;U4/U6 snRNP|2|17;U6 snRNP complex|2| 7;LSM2-8 complex|2| 7;LSM1-7 complex|2| 7;LSM2-7 complex|2| 6	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Q12420	SNU66	19	LSM1-7-PAT1 complex|3| 8;U4/U6.U5 tri-snRNP complex|2|28;U4/U6 snRNP|2|17;U6 snRNP complex|2| 7;LSM2-8 complex|2| 7;LSM1-7 complex|2| 7;LSM2-7 complex|2| 6	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
P19736	PRP9	19	LSM1-7-PAT1 complex|3| 8;U4/U6.U5 tri-snRNP complex|2|28;U4/U6 snRNP|2|17;U6 snRNP complex|2| 7;LSM2-8 complex|2| 7;LSM1-7 complex|2| 7;LSM2-7 complex|2| 6	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
P32524	PRP21	19	LSM1-7-PAT1 complex|3| 8;U4/U6.U5 tri-snRNP complex|2|28;U4/U6 snRNP|2|17;U6 snRNP complex|2| 7;LSM2-8 complex|2| 7;LSM1-7 complex|2| 7;LSM2-7 complex|2| 6	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
P40565	IST3	19	LSM1-7-PAT1 complex|3| 8;U4/U6.U5 tri-snRNP complex|2|28;U4/U6 snRNP|2|17;U6 snRNP complex|2| 7;LSM2-8 complex|2| 7;LSM1-7 complex|2| 7;LSM2-7 complex|2| 6	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
P40567	MSL1	19	LSM1-7-PAT1 complex|3| 8;U4/U6.U5 tri-snRNP complex|2|28;U4/U6 snRNP|2|17;U6 snRNP complex|2| 7;LSM2-8 complex|2| 7;LSM1-7 complex|2| 7;LSM2-7 complex|2| 6	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
P46947	BUD13	19	LSM1-7-PAT1 complex|3| 8;U4/U6.U5 tri-snRNP complex|2|28;U4/U6 snRNP|2|17;U6 snRNP complex|2| 7;LSM2-8 complex|2| 7;LSM1-7 complex|2| 7;LSM2-7 complex|2| 6	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
P49955	HSH155	19	LSM1-7-PAT1 complex|3| 8;U4/U6.U5 tri-snRNP complex|2|28;U4/U6 snRNP|2|17;U6 snRNP complex|2| 7;LSM2-8 complex|2| 7;LSM1-7 complex|2| 7;LSM2-7 complex|2| 6	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Q02554	CUS1	19	LSM1-7-PAT1 complex|3| 8;U4/U6.U5 tri-snRNP complex|2|28;U4/U6 snRNP|2|17;U6 snRNP complex|2| 7;LSM2-8 complex|2| 7;LSM1-7 complex|2| 7;LSM2-7 complex|2| 6	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
Q04693	RSE1	19	LSM1-7-PAT1 complex|3| 8;U4/U6.U5 tri-snRNP complex|2|28;U4/U6 snRNP|2|17;U6 snRNP complex|2| 7;LSM2-8 complex|2| 7;LSM1-7 complex|2| 7;LSM2-7 complex|2| 6	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Q07350	PRP11	19	LSM1-7-PAT1 complex|3| 8;U4/U6.U5 tri-snRNP complex|2|28;U4/U6 snRNP|2|17;U6 snRNP complex|2| 7;LSM2-8 complex|2| 7;LSM1-7 complex|2| 7;LSM2-7 complex|2| 6	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Q08963	LEA1	19	LSM1-7-PAT1 complex|3| 8;U4/U6.U5 tri-snRNP complex|2|28;U4/U6 snRNP|2|17;U6 snRNP complex|2| 7;LSM2-8 complex|2| 7;LSM1-7 complex|2| 7;LSM2-7 complex|2| 6	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
P47017	LSM1	19	LSM1-7-PAT1 complex|3| 8;U4/U6.U5 tri-snRNP complex|2|28;U4/U6 snRNP|2|17;U6 snRNP complex|2| 7;LSM2-8 complex|2| 7;LSM1-7 complex|2| 7;LSM2-7 complex|2| 6	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
P25644	PAT1	19	LSM1-7-PAT1 complex|3| 8;U4/U6.U5 tri-snRNP complex|2|28;U4/U6 snRNP|2|17;U6 snRNP complex|2| 7;LSM2-8 complex|2| 7;LSM1-7 complex|2| 7;LSM2-7 complex|2| 6	TRUE	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE
Q06132	SGD1	34	Small ribosomal subunit processome, variant 1|6|47;Small ribosomal subunit processome, variant 2|6|47;Small ribosomal subunit processome, variant 3|6|47;Box C/D snoRNP complex|3| 4;U4/U6.U5 tri-snRNP complex|1| 1;U4 snRNP|1| 1;U4/U6 snRNP|1| 1	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
Q12099	FAL1	34	Small ribosomal subunit processome, variant 1|6|47;Small ribosomal subunit processome, variant 2|6|47;Small ribosomal subunit processome, variant 3|6|47;Box C/D snoRNP complex|3| 4;U4/U6.U5 tri-snRNP complex|1| 1;U4 snRNP|1| 1;U4/U6 snRNP|1| 1	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
P53738	TRM112	20	MTQ2-TRM112 eRF1 methyltransferase complex|1|2;BUD23-TRM112 methyltransferase complex|1|2;TRM9-TRM112 methyltransferase complex|1|2;TRM11-TRM112 tRNA (m2G10) methyltransferase complex|0|0	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
Q03920	MTQ2	20	MTQ2-TRM112 eRF1 methyltransferase complex|1|2;BUD23-TRM112 methyltransferase complex|1|2;TRM9-TRM112 methyltransferase complex|1|2;TRM11-TRM112 tRNA (m2G10) methyltransferase complex|0|0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
P02994	TEF1	39	Elongation Factor eEF1 complex, variant TEF4|3|3;Elongation Factor eEF1 complex, variant CAM1|3|3	TRUE	FALSE	TRUE	TRUE	TRUE	FALSE	TRUE
P32471	EFB1	39	Elongation Factor eEF1 complex, variant TEF4|3|3;Elongation Factor eEF1 complex, variant CAM1|3|3	TRUE	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE
P36008	TEF4	39	Elongation Factor eEF1 complex, variant TEF4|3|3;Elongation Factor eEF1 complex, variant CAM1|3|3	TRUE	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE
P32521	PAN1	17	PAN1 actin cytoskeleton-regulatory complex|2|3;SLAC complex|2|2	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE	TRUE
P32790	SLA1	17	PAN1 actin cytoskeleton-regulatory complex|2|3;SLAC complex|2|2	TRUE	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE
P39013	END3	17	PAN1 actin cytoskeleton-regulatory complex|2|3;SLAC complex|2|2	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
P07260	CDC33	37	Eukaryotic translation initiation factor 4F complex, variant TIF4631|3|3;Eukaryotic translation initiation factor 4F complex, variant TIF4632|3|3	TRUE	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE
P10081	TIF1	37	Eukaryotic translation initiation factor 4F complex, variant TIF4631|3|3;Eukaryotic translation initiation factor 4F complex, variant TIF4632|3|3	TRUE	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE
P39935	TIF4631	37	Eukaryotic translation initiation factor 4F complex, variant TIF4631|3|3;Eukaryotic translation initiation factor 4F complex, variant TIF4632|3|3	TRUE	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE
P39936	TIF4632	37	Eukaryotic translation initiation factor 4F complex, variant TIF4631|3|3;Eukaryotic translation initiation factor 4F complex, variant TIF4632|3|3	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE
P23644	TOM40	94	TOM40 mitochondrial outer membrane translocase holocomplex|1|7	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
P33448	TOM6	94	TOM40 mitochondrial outer membrane translocase holocomplex|1|7	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
P49334	TOM22	94	TOM40 mitochondrial outer membrane translocase holocomplex|1|7	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
P53507	TOM7	94	TOM40 mitochondrial outer membrane translocase holocomplex|1|7	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
P80967	TOM5	94	TOM40 mitochondrial outer membrane translocase holocomplex|1|7	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
P07213	TOM70	94	TOM40 mitochondrial outer membrane translocase holocomplex|1|7	TRUE	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE
P35180	TOM20	94	TOM40 mitochondrial outer membrane translocase holocomplex|1|7	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
P06244	TPK1	43	cAMP-dependent protein kinase complex variant 4|1|3;cAMP-dependent protein kinase complex variant 5|1|3;cAMP-dependent protein kinase complex variant 6|1|3;cAMP-dependent protein kinase complex variant 1|1|2;cAMP-dependent protein kinase complex variant 2|1|2;cAMP-dependent protein kinase complex variant 3|1|2	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
P07278	BCY1	43	cAMP-dependent protein kinase complex variant 4|1|3;cAMP-dependent protein kinase complex variant 5|1|3;cAMP-dependent protein kinase complex variant 6|1|3;cAMP-dependent protein kinase complex variant 1|1|2;cAMP-dependent protein kinase complex variant 2|1|2;cAMP-dependent protein kinase complex variant 3|1|2	TRUE	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE
P06245	TPK2	43	cAMP-dependent protein kinase complex variant 4|1|3;cAMP-dependent protein kinase complex variant 5|1|3;cAMP-dependent protein kinase complex variant 6|1|3;cAMP-dependent protein kinase complex variant 1|1|2;cAMP-dependent protein kinase complex variant 2|1|2;cAMP-dependent protein kinase complex variant 3|1|2	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
P00127	QCR6	98	Mitochondrial respiratory chain complex III|2|10	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
P00128	QCR7	98	Mitochondrial respiratory chain complex III|2|10	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
P00163	COB	98	Mitochondrial respiratory chain complex III|2|10	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
P07143	CYT1	98	Mitochondrial respiratory chain complex III|2|10	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
P07256	COR1	98	Mitochondrial respiratory chain complex III|2|10	TRUE	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE
P07257	QCR2	98	Mitochondrial respiratory chain complex III|2|10	TRUE	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE
P08067	RIP1	98	Mitochondrial respiratory chain complex III|2|10	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE
P08525	QCR8	98	Mitochondrial respiratory chain complex III|2|10	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
P22289	QCR9	98	Mitochondrial respiratory chain complex III|2|10	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
P37299	QCR10	98	Mitochondrial respiratory chain complex III|2|10	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
P05986	TPK3	43	cAMP-dependent protein kinase complex variant 4|1|3;cAMP-dependent protein kinase complex variant 5|1|3;cAMP-dependent protein kinase complex variant 6|1|3;cAMP-dependent protein kinase complex variant 1|1|2;cAMP-dependent protein kinase complex variant 2|1|2;cAMP-dependent protein kinase complex variant 3|1|2	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
P31688	TPS2	38	Trehalose-6-phosphate synthase/phosphatase variant 2|1|3	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE
P38426	TPS3	38	Trehalose-6-phosphate synthase/phosphatase variant 2|1|3	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
Q00764	TPS1	38	Trehalose-6-phosphate synthase/phosphatase variant 2|1|3	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE
P38427	TSL1	38	Trehalose-6-phosphate synthase/phosphatase variant 2|1|3	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE	TRUE
P32381	ARP2	70	Arp2/3 complex|2|7	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
P33204	ARC19	70	Arp2/3 complex|2|7	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
P38328	ARC40	70	Arp2/3 complex|2|7	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
P40518	ARC15	70	Arp2/3 complex|2|7	TRUE	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE
P47117	ARP3	70	Arp2/3 complex|2|7	TRUE	FALSE	TRUE	TRUE	TRUE	FALSE	TRUE
P53731	ARC35	70	Arp2/3 complex|2|7	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
Q05933	ARC18	70	Arp2/3 complex|2|7	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE
P32494	NGG1	35	SAGA complex|1|20;SLIK (SAGA-like) complex|0| 0	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Q02336	ADA2	35	SAGA complex|1|20;SLIK (SAGA-like) complex|0| 0	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
Q03330	GCN5	35	SAGA complex|1|20;SLIK (SAGA-like) complex|0| 0	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
P20424	SRP54	83	Signal recognition particle|1|6	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
P29478	SEC65	83	Signal recognition particle|1|6	TRUE	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE
P32342	SRP21	83	Signal recognition particle|1|6	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
P38687	SRP68	83	Signal recognition particle|1|6	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
P38688	SRP72	83	Signal recognition particle|1|6	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE
P38985	SRP14	83	Signal recognition particle|1|6	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
P06844	SPT3	35	SAGA complex|1|20;SLIK (SAGA-like) complex|0| 0	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
P25554	SGF29	35	SAGA complex|1|20;SLIK (SAGA-like) complex|0| 0	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
P32657	CHD1	35	SAGA complex|1|20;SLIK (SAGA-like) complex|0| 0	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE
P35177	SPT7	35	SAGA complex|1|20;SLIK (SAGA-like) complex|0| 0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
P38129	TAF5	35	SAGA complex|1|20;SLIK (SAGA-like) complex|0| 0	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
P38811	TRA1	35	SAGA complex|1|20;SLIK (SAGA-like) complex|0| 0	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
P38915	SPT8	35	SAGA complex|1|20;SLIK (SAGA-like) complex|0| 0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
P50102	UBP8	35	SAGA complex|1|20;SLIK (SAGA-like) complex|0| 0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
P50875	SPT20	35	SAGA complex|1|20;SLIK (SAGA-like) complex|0| 0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
P53040	TAF6	35	SAGA complex|1|20;SLIK (SAGA-like) complex|0| 0	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
P53165	SGF73	35	SAGA complex|1|20;SLIK (SAGA-like) complex|0| 0	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE
Q03067	SGF11	35	SAGA complex|1|20;SLIK (SAGA-like) complex|0| 0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
Q03761	TAF12	35	SAGA complex|1|20;SLIK (SAGA-like) complex|0| 0	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Q05027	TAF9	35	SAGA complex|1|20;SLIK (SAGA-like) complex|0| 0	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Q12030	TAF10	35	SAGA complex|1|20;SLIK (SAGA-like) complex|0| 0	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Q12060	HFI1	35	SAGA complex|1|20;SLIK (SAGA-like) complex|0| 0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Q6WNK7	SUS1	35	SAGA complex|1|20;SLIK (SAGA-like) complex|0| 0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
P32608	RTG2	35	SAGA complex|1|20;SLIK (SAGA-like) complex|0| 0	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
P15646	NOP1	34	Small ribosomal subunit processome, variant 1|6|47;Small ribosomal subunit processome, variant 2|6|47;Small ribosomal subunit processome, variant 3|6|47;Box C/D snoRNP complex|3| 4;U4/U6.U5 tri-snRNP complex|1| 1;U4 snRNP|1| 1;U4/U6 snRNP|1| 1	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
Q12460	NOP56	34	Small ribosomal subunit processome, variant 1|6|47;Small ribosomal subunit processome, variant 2|6|47;Small ribosomal subunit processome, variant 3|6|47;Box C/D snoRNP complex|3| 4;U4/U6.U5 tri-snRNP complex|1| 1;U4 snRNP|1| 1;U4/U6 snRNP|1| 1	TRUE	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE
Q12499	NOP58	34	Small ribosomal subunit processome, variant 1|6|47;Small ribosomal subunit processome, variant 2|6|47;Small ribosomal subunit processome, variant 3|6|47;Box C/D snoRNP complex|3| 4;U4/U6.U5 tri-snRNP complex|1| 1;U4 snRNP|1| 1;U4/U6 snRNP|1| 1	TRUE	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE
P28007	GAR1	99	Box H/ACA ribonucleoprotein complex|2|4	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
P32495	NHP2	99	Box H/ACA ribonucleoprotein complex|2|4	TRUE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE
P33322	CBF5	99	Box H/ACA ribonucleoprotein complex|2|4	TRUE	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE
