Entry	Protein names	Gene names	Length	Region
Q92325	Cullin-associated NEDD8-dissociated protein 1 homolog (CAND1 homolog) (Longevity-assurance protein 2)	LAG2 YOL025W	660	REGION 339..364;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
P38703	Ceramide synthase LAG1 (Longevity assurance factor 1) (Longevity assurance gene 1 protein) (Longevity assurance protein 1) (Very-long-chain ceramide synthase LAG1) (EC 2.3.1.297)	LAG1 YHL003C	411	REGION 390..411;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
P25587	Protein LDB16 (Low dye-binding protein 16)	LDB16 YCL005W YCL5W	256	
P16523	Meiotic recombination 1 protein	MER1 YNL210W N1330	270	
Q12525	Homocysteine S-methyltransferase 1 (EC 2.1.1.10) (S-methylmethionine:homocysteine methyltransferase 1) (SMM:Hcy S-methyltransferase 1)	MHT1 YLL062C L0552	324	
P16861	ATP-dependent 6-phosphofructokinase subunit alpha (EC 2.7.1.11) (ATP-dependent 6-phosphofructokinase) (ATP-PFK) (Phosphofructokinase 1) (Phosphohexokinase)	PFK1 YGR240C G8599	987	REGION 1..580;  /note="N-terminal catalytic PFK domain 1";  /evidence="ECO:0000255|HAMAP-Rule:MF_03184, ECO:0000305|PubMed:21241708"; REGION 354..356;  /note="Substrate binding";  /evidence="ECO:0000255|HAMAP-Rule:MF_03184, ECO:0000269|PubMed:21241708"; REGION 398..400;  /note="Substrate binding";  /evidence="ECO:0000255|HAMAP-Rule:MF_03184, ECO:0000269|PubMed:21241708"; REGION 488..491;  /note="Substrate binding";  /evidence="ECO:0000255|HAMAP-Rule:MF_03184, ECO:0000269|PubMed:21241708"; REGION 581..594;  /note="Interdomain linker";  /evidence="ECO:0000255|HAMAP-Rule:MF_03184, ECO:0000305|PubMed:21241708"; REGION 595..987;  /note="C-terminal regulatory PFK domain 2";  /evidence="ECO:0000255|HAMAP-Rule:MF_03184, ECO:0000305|PubMed:21241708"; REGION 722..726;  /note="Fructose 2,6-bisphosphate binding; allosteric activator";  /evidence="ECO:0000255|HAMAP-Rule:MF_03184, ECO:0000269|PubMed:21241708"; REGION 767..769;  /note="Fructose 2,6-bisphosphate binding; allosteric activator";  /evidence="ECO:0000255|HAMAP-Rule:MF_03184, ECO:0000269|PubMed:21241708"; REGION 859..862;  /note="Fructose 2,6-bisphosphate binding; allosteric activator";  /evidence="ECO:0000255|HAMAP-Rule:MF_03184, ECO:0000269|PubMed:21241708"
P25625	Protein PER1 (Protein processing in the ER protein 1)	PER1 COS16 YCR044C YCR44C	357	
P47180	Polygalacturonase (PG) (EC 3.2.1.15) (PGase SM) (Pectinase)	PGU1 PGL1 PSM1 YJR153W J2235	361	
P36093	Putative transcription factor PHD1	PHD1 YKL043W YKL256	366	REGION 294..366;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
Q12511	[Pyruvate dehydrogenase [acetyl-transferring]]-phosphatase 1, mitochondrial (PDP 1) (EC 3.1.3.43) (Phosphatase two C protein 5) (Protein phosphatase 2C homolog 5) (PP2C-5) (Protein phosphatase of PDH protein 1) (Pyruvate dehydrogenase complex phosphatase 1) (PDC phosphatase 1)	PTC5 PPP1 YOR090C YOR3157C	572	REGION 95..122;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 470..492;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
P25646	[Pyruvate dehydrogenase [acetyl-transferring]]-phosphatase 2, mitochondrial (PDP 2) (EC 3.1.3.16) (EC 3.1.3.43) (Autophagy-related protein phosphatase 1) (Phosphatase two C protein 6) (Protein phosphatase 2C homolog 6) (PP2C-6) (Protein phosphatase of PDH protein 2) (Pyruvate dehydrogenase complex phosphatase 2) (PDC phosphatase 2)	PTC6 AUP1 PPP2 YCR079W YCR79C YCR79W	442	
Q12144	Pore and endoplasmic reticulum protein of 33 kDa	PER33 YLR064W L2177	273	
P33401	Phosphoglucomutase 1 (PGM 1) (EC 5.4.2.2) (Glucose phosphomutase 1)	PGM1 YKL127W	570	REGION 120..121;  /note="Substrate binding";  /evidence="ECO:0000250|UniProtKB:P00949"; REGION 295..296;  /note="Substrate binding";  /evidence="ECO:0000250|UniProtKB:P00949"; REGION 379..381;  /note="Substrate binding";  /evidence="ECO:0000250|UniProtKB:P00949"
P37012	Phosphoglucomutase 2 (PGM 2) (EC 5.4.2.2) (D-glucose-1,6-diphosphate:D-glucose-1-phosphate phosphotransferase) (Glucose phosphomutase 2)	PGM2 GA-5 GAL5 YMR105C YM9718.04C	569	REGION 1..23;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 119..120;  /note="Substrate binding";  /evidence="ECO:0000250|UniProtKB:P00949"; REGION 294..295;  /note="Substrate binding";  /evidence="ECO:0000250|UniProtKB:P00949"; REGION 378..380;  /note="Substrate binding";  /evidence="ECO:0000250|UniProtKB:P00949"
Q03262	Phosphoribomutase (PRM) (EC 5.4.2.7) (Phosphoglucomutase 3) (PGM 3)	PRM15 PGM3 YMR278W YM8021.04	622	REGION 158..159;  /note="Substrate binding";  /evidence="ECO:0000250|UniProtKB:P00949"; REGION 329..330;  /note="Substrate binding";  /evidence="ECO:0000250|UniProtKB:P00949"; REGION 428..430;  /note="Substrate binding";  /evidence="ECO:0000250|UniProtKB:P00949"
P51533	ATP-dependent permease PDR10	PDR10 YOR328W	1564	REGION 1..37;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 839..872;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
P40550	ATP-dependent permease PDR11	PDR11 YIL013C	1411	
Q02785	ATP-dependent permease PDR12	PDR12 YPL058C LPE14C	1511	REGION 1..37;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
Q04182	ATP-dependent permease PDR15	PDR15 YDR406W D9509.24	1529	REGION 1..38;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 829..873;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
P53860	Phosphatidylinositol transfer protein PDR16 (PITP) (Pleiotropic drug resistance protein 16) (SEC14 homolog 3)	PDR16 SFH3 YNL231C N1158	351	
P53844	Phosphatidylinositol transfer protein PDR17 (PITP) (Phosphatidylserine transport B pathway protein 2) (Pleiotropic drug resistance protein 17) (SEC14 homolog 3)	PDR17 ISS1 PSTB2 SFH4 YNL264C N0815	350	
P32452	Probable prephenate dehydratase (PDT) (EC 4.2.1.51) (Phenylalanine-requiring protein 2)	PHA2 YNL316C N0351	334	
P53756	ABC transporter ATP-binding protein/permease PDR18 (Pleiotropic drug resistance protein 18)	PDR18 YNR070W N3568	1333	
P12383	Transcription factor PDR1 (Pleiotropic drug resistance protein 1)	PDR1 AMY1 ANT1 BOR2 CYH3 NRA2 SMR2 TIL1 TPE1 TPE3 YGL013C	1068	REGION 1..38;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 95..120;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 133..166;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 1005..1029;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
P33200	Transcription factor PDR3 (Pleiotropic drug resistance protein 3)	PDR3 YBL005W YBL0323	976	REGION 104..126;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
P33302	Pleiotropic ABC efflux transporter of multiple drugs (Pleiotropic drug resistance protein 5) (Suppressor of toxicity of sporidesmin)	PDR5 LEM1 STS1 YDR1 YOR153W	1511	REGION 1..32;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 52..71;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 824..858;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
Q06149	Transcription factor PDR8 (Pleiotropic drug resistance protein 8)	PDR8 YLR266C L8479.13	701	REGION 1..22;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
P42841	Polyadenylation factor subunit 2	PFS2 YNL317W N0348	465	REGION 1..26;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 417..465;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
P53872	Hydrophilin YNL190W	YNL190W N1415	204	REGION 35..179;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
P53896	GPI mannosyltransferase 2 subunit PGA1 (Processing of GAS1 and ALP protein 1)	PGA1 YNL158W N1739	198	
P53903	Processing of GAS1 and ALP protein 2	PGA2 YNL149C N1774	129	REGION 53..92;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 106..129;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
Q12746	Plasma membrane-associated coenzyme Q6 reductase PGA3 (EC 1.6.2.2) (Processing of GAS1 and ALP protein 3)	PGA3 NQR1 YML125C YM4987.10C YM7056.01C	312	
Q06608	Pyridoxamine 5'-phosphate oxidase homolog (PNP/PMP oxidase homolog) (PNPOx homolog)	YPR172W	200	
P40091	Protein PEA2 (Protein PPF2)	PEA2 PPF2 YER149C	420	REGION 132..169;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 323..363;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
P40961	Prohibitin-1	PHB1 PHB YGR132C	287	REGION 264..287;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
P50085	Prohibitin-2	PHB2 YGR231C G8561	310	
P32854	Syntaxin PEP12 (Carboxypeptidase Y-deficient protein 12) (Vacuolar protein sorting-associated protein 6) (Vacuolar protein-targeting protein 13)	PEP12 VPS6 VPT13 YOR036W OR26.29	288	
P27801	Vacuolar membrane protein PEP3 (Carboxypeptidase Y-deficient protein 3) (Vacuolar morphogenesis protein 8) (Vacuolar protein sorting-associated protein 18) (Vacuolar protein-targeting protein 18)	PEP3 VAM8 VPS18 VPT18 YLR148W L9634.2	918	
Q08959	Phosphatidylglycerol phospholipase C (EC 3.1.4.-)	PGC1 YPL206C	321	
P12868	E3 ubiquitin-protein ligase PEP5 (EC 2.3.2.27) (Carboxypeptidase Y-deficient protein 5) (Histone E3 ligase PEP5) (RING-type E3 ubiquitin transferase PEP5) (Vacuolar biogenesis protein END1) (Vacuolar morphogenesis protein 1) (Vacuolar protein sorting-associated protein 11) (Vacuolar protein-targeting protein 11)	PEP5 END1 VAM1 VPL9 VPS11 VPT11 YMR231W YM9959.13	1029	REGION 637..656;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
P32609	Vacuolar segregation protein PEP7 (Carboxypeptidase Y-deficient protein 7) (Protein VAC1) (Vacuolar protein sorting-associated protein 19) (Vacuolar protein-targeting protein 19)	PEP7 VAC1 VPL21 VPS19 VPT19 YDR323C	515	REGION 36..58;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
P40335	Carboxypeptidase Y-deficient protein 8 (Vacuolar protein sorting-associated protein 26) (Vacuolar protein-targeting protein 4)	PEP8 GRD6 VPS26 VPT4 YJL053W J1152	379	REGION 84..108;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
P13259	Choline-phosphate cytidylyltransferase (EC 2.7.7.15) (CTP:phosphocholine cytidylyltransferase) (CCT) (CT) (Phosphorylcholine transferase)	PCT1 CCT CCT1 YGR202C G7729	424	REGION 1..70;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 348..424;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
P53238	Peflin (Penta-EF hand domain-containing protein 1)	PEF1 YGR058W	335	REGION 23..92;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
P38075	Pyridoxamine 5'-phosphate oxidase (EC 1.4.3.5) (PNP/PMP oxidase) (PNPOx)	PDX3 YBR035C YBR0321	228	REGION 20..23;  /note="Pyridoxal 5'-phosphate binding";  /evidence="ECO:0000250|UniProtKB:P0AFI7"; REGION 205..207;  /note="Pyridoxal 5'-phosphate binding";  /evidence="ECO:0000250|UniProtKB:P0AFI7"
P22434	3',5'-cyclic-nucleotide phosphodiesterase 1 (PDEase 1) (EC 3.1.4.17) (3':5'-CNP) (Low-affinity cAMP phosphodiesterase)	PDE1 YGL248W NRB369	369	
P53124	PHO85 cyclin-10	PCL10 YGL134W G2838	433	REGION 1..20;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 51..81;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
P24867	PHO85 cyclin-1 (Cyclin HCS26) (G1/S-specific cyclin PCL1)	PCL1 HCS26 YNL289W N0536	279	REGION 29..36;  /note="Required for degradation by DMA1";  /evidence="ECO:0000269|PubMed:23264631"
P06776	3',5'-cyclic-nucleotide phosphodiesterase 2 (PDEase 2) (EC 3.1.4.53) (High-affinity cAMP phosphodiesterase)	PDE2 SRA5 YOR360C	526	
P25693	PHO85 cyclin-2 (Cyclin HCS26 homolog) (G1/S-specific cyclin PCL2)	PCL2 CLN4 YDL127W D2223	308	REGION 248..270;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
P38794	PHO85 cyclin-5 (G1/S-specific cyclin PCL5)	PCL5 YHR071W H8025.1	229	REGION 1..46;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
P40038	PHO85 cyclin-6	PCL6 YER059W	420	REGION 1..82;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 134..155;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 268..321;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
P40186	PHO85 cyclin-7 (PHO85-associated protein 1)	PCL7 PAP1 YIL050W	285	REGION 1..42;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
Q08966	PHO85 cyclin-8	PCL8 YPL219W P1745	492	REGION 1..32;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 143..163;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 223..252;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
Q12477	PHO85 cyclin-9	PCL9 YDL179W D1408	304	
P40345	Phospholipid:diacylglycerol acyltransferase (PDAT) (EC 2.3.1.158) (LCAT-related open reading frame 1) (Lecithin cholesterol acyl transferase-related open reading frame 1) (Triacylglycerol synthase) (TAG synthase)	LRO1 YNR008W N2042	661	REGION 1..71;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
P06169	Pyruvate decarboxylase isozyme 1 (EC 4.1.1.-) (EC 4.1.1.43) (EC 4.1.1.72) (EC 4.1.1.74) (Thiamine pyrophosphate-dependent 2-oxo-acid decarboxylase) (2ODC)	PDC1 YLR044C L2104	563	REGION 390..476;  /note="Thiamine pyrophosphate binding"
P32896	Protein PDC2	PDC2 YDR081C D4451	925	REGION 510..596;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 674..693;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 904..925;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
P16467	Pyruvate decarboxylase isozyme 2 (EC 4.1.1.-) (EC 4.1.1.43) (EC 4.1.1.72) (EC 4.1.1.74) (Thiamine pyrophosphate-dependent 2-oxo-acid decarboxylase) (2ODC)	PDC5 YLR134W L3133 L9606.7	563	REGION 390..476;  /note="Thiamine pyrophosphate binding";  /evidence="ECO:0000250"
P26263	Pyruvate decarboxylase isozyme 3 (EC 4.1.1.-) (EC 4.1.1.43) (EC 4.1.1.72) (EC 4.1.1.74) (Thiamine pyrophosphate-dependent 2-oxo-acid decarboxylase) (2ODC)	PDC6 YGR087C	563	REGION 390..476;  /note="Thiamine pyrophosphate binding";  /evidence="ECO:0000250"
P15873	Proliferating cell nuclear antigen (PCNA)	POL30 YBR088C YBR0811	258	
P53259	Rhomboid protein 1, mitochondrial (EC 3.4.21.105) (Mitochondrial distribution and morphology protein 37) (Processing of cytochrome c peroxidase protein 1)	PCP1 MDM37 RBD1 UGO2 YGR101W	346	
P87284	Plasma membrane proteolipid 3	PMP3 SNA1 YDR276C	55	
P41903	Peroxisomal acyl-coenzyme A thioester hydrolase 1 (EC 3.1.2.2) (Peroxisomal long-chain acyl-CoA thioesterase 1)	TES1 PTE1 YJR019C J1456	349	
P50109	Protein PSP2 (Mitochondrial regulator of splicing 15) (Polymerase suppressor protein 2)	PSP2 MRS15 YML017W YM9571.01	593	REGION 56..101;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 227..248;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 280..593;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
P39994	Putative 2-hydroxyacyl-CoA lyase (EC 4.1.-.-) (Peroxisomal protein 1)	PXP1 YEL020C	560	
P42073	RNA end formation protein 2	REF2 YDR195W YD9346.06	533	REGION 187..254;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 260..279;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 321..344;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
Q12167	Required for respiratory growth protein 1, mitochondrial	RRG1 YDR065W D4258	365	
P0CX40	40S ribosomal protein S8-B (RP19) (S14) (Small ribosomal subunit protein eS8-B) (YS9)	RPS8B RPS14B YER102W	200	REGION 1..31;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
Q03323	COMPASS component SDC1 (Complex proteins associated with SET1 protein SDC1) (Set1C component SDC1) (Suppressor of CDC25 protein 1)	SDC1 CPS25 SAF19 YDR469W	175	REGION 1..45;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 121..162;  /note="DPY-30"
P32602	Alpha-soluble NSF attachment protein (SNAP-alpha) (N-ethylmaleimide-sensitive factor attachment protein alpha) (Vesicular-fusion protein SEC17) (alpha-SNAP chaperone)	SEC17 YBL050W YBL0505 YBL0517	292	
P40510	D-3-phosphoglycerate dehydrogenase 2 (3-PGDH 2) (EC 1.1.1.95) (2-oxoglutarate reductase) (EC 1.1.1.399)	SER33 YIL074C	469	
Q08204	Structural maintenance of chromosomes protein 5	SMC5 YOL034W	1093	REGION 442..650;  /note="Flexible hinge"
P39990	13 kDa ribonucleoprotein-associated protein (Small nuclear ribonucleoprotein-associated protein 1)	SNU13 YEL026W	126	
P33330	Phosphoserine aminotransferase (PSAT) (EC 2.6.1.52) (Phosphohydroxythreonine aminotransferase)	SER1 SERC YOR184W	395	REGION 80..81;  /note="Pyridoxal phosphate binding";  /evidence="ECO:0000250|UniProtKB:Q96255"; REGION 271..272;  /note="Pyridoxal phosphate binding";  /evidence="ECO:0000250|UniProtKB:Q96255"
P53438	Protein SOK2	SOK2 YMR016C YM9711.03C	785	REGION 1..45;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 78..121;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 202..355;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 519..538;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 642..785;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
P40167	Sporulation-specific with a leucine zipper motif protein 1	SLZ1 YNL196C N1386	298	REGION 18..91;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 109..128;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
P50278	6-phosphogluconolactonase-like protein 1	SOL1 YNR034W N3291	321	REGION 36..85;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
P36048	Pre-mRNA-splicing factor SNU114 (114 kDa U5 small nuclear ribonucleoprotein component) (Growth inhibitory protein 10)	SNU114 GIN10 YKL173W YKL637	1008	REGION 140..147;  /note="G1";  /evidence="ECO:0000255|PROSITE-ProRule:PRU01059"; REGION 188..192;  /note="G2";  /evidence="ECO:0000255|PROSITE-ProRule:PRU01059"; REGION 214..217;  /note="G3";  /evidence="ECO:0000255|PROSITE-ProRule:PRU01059"; REGION 268..271;  /note="G4";  /evidence="ECO:0000255|PROSITE-ProRule:PRU01059"; REGION 315..317;  /note="G5";  /evidence="ECO:0000255|PROSITE-ProRule:PRU01059"; REGION 504..536;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
P40150	Ribosome-associated molecular chaperone SSB2 (EC 3.6.4.10) (Heat shock protein SSB2) (Hsp70 chaperone Ssb)	SSB2 YG103 YNL209W N1333	613	REGION 2..391;  /note="Nucleotide binding domain (NBD)";  /evidence="ECO:0000250|UniProtKB:G0SCU5"; REGION 392..402;  /note="Inter-domain linker";  /evidence="ECO:0000250|UniProtKB:G0SCU5"; REGION 403..613;  /note="Substrate binding domain (SBD)";  /evidence="ECO:0000250|UniProtKB:G0SCU5"; REGION 516..612;  /note="Lid domain (SBDalpha)";  /evidence="ECO:0000250|UniProtKB:G0SCU5"; REGION 601..613;  /note="Required for interaction with ribosomes";  /evidence="ECO:0000269|PubMed:27917864"
P35177	Transcriptional activator SPT7	SPT7 YBR081C YBR0739	1332	REGION 80..118;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 209..268;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 331..384;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 566..724;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 1286..1332;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
P32583	Suppressor protein SRP40	SRP40 YKR092C YKR412A	406	REGION 1..335;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
P09007	Pre-rRNA-processing protein SRD1 (Suppressor of rRNA-processing defect protein 1)	SRD1 YCR018C YCR18C	221	REGION 101..121;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 137..161;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 201..221;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
P22217	Thioredoxin-1 (Thioredoxin I) (TR-I) (Thioredoxin-2)	TRX1 TRX2 YLR043C	103	
Q12516	Regulator of phospholipase D SRF1 (SPO14 regulatory factor 1)	SRF1 YDL133W D2185	437	REGION 1..24;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
P53101	Cystathionine beta-lyase (CBL) (EC 4.4.1.13) (Beta-cystathionase) (Cysteine lyase) (Cysteine-S-conjugate beta-lyase) (Sulfur transfer protein 3)	STR3 YGL184C G1601	465	
Q02794	Protein STD1 (Glucose repression modulator MSN3) (Suppressor of Tbp deletion protein 1) (Suppressor of fluoride sensitivity 3)	STD1 MSN3 SFS3 YOR047C	444	REGION 1..77;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
P13574	Protein STE12	STE12 YHR084W	688	REGION 177..199;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 211..239;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 285..305;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 587..610;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 630..688;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
P23561	Serine/threonine-protein kinase STE11 (EC 2.7.11.25)	STE11 YLR362W L8039.10	717	REGION 452..481;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
Q08673	Cell wall protein SRL1	SRL1 YOR247W	210	REGION 80..99;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 118..142;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
P38198	Protein STU1 (Suppressor of tubulin 1)	STU1 YBL034C YBL0416	1513	REGION 461..716;  /note="Interaction with microtubules"; REGION 586..605;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 648..701;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 1089..1180;  /note="Disordered";  /evidence="ECO:0000256|SAM:MobiDB-lite"
