Entry	Gene.names	Protein.names
P53064	RTF1	RNA polymerase-associated protein RTF1
P33754	SEC66	Translocation protein SEC66 (Protein HSS1) (Sec62/63 complex 31.5 kDa subunit)
P38345	SDH8	Succinate dehydrogenase assembly factor 4, mitochondrial (SDH assembly factor 4) (SDHAF4) (Found in mitochondrial proteome protein 21)
Q08581	SLK19	Kinetochore protein SLK19 (Synthetic lethal KAR3 protein 19)
Q04902	SNO4	Probable glutathione-independent glyoxalase SNO4 (EC 4.2.1.130) (Glyoxalase 3 homolog 4) (Heat shock protein 34) (SNZ proximal open reading frame 4)
P40031	SPO73	Sporulation-specific protein 73
P40167	SLZ1	Sporulation-specific with a leucine zipper motif protein 1
Q12118	SGT2	Small glutamine-rich tetratricopeptide repeat-containing protein 2 (SGT/UBP) (Viral protein U-binding protein)
P32566	SMI1	Cell wall assembly regulator SMI1 (Killer toxin-resistance protein 4)
P38717	SIP3	Membrane-anchored lipid-binding protein SIP3 (Lipid transfer protein anchored at membrane contact sites 3) (SNF1-interacting protein 3)
P22579	SIN3	Transcriptional regulatory protein SIN3
Q08673	SRL1	Cell wall protein SRL1
P40342	SWM2	Nucleolar protein SWM2 (Synthetic With MUD2-delta protein 2)
P38789	SSF1	Ribosome biogenesis protein SSF1
P40164	PSY2	Serine/threonine-protein phosphatase 4 regulatory subunit 3 (PP4R3)
P50109	PSP2	Protein PSP2 (Mitochondrial regulator of splicing 15) (Polymerase suppressor protein 2)
P37299	QCR10	Cytochrome b-c1 complex subunit 10, mitochondrial (Complex III subunit 10) (Complex III subunit XI) (Ubiquinol-cytochrome c oxidoreductase subunit 10) (Ubiquinol-cytochrome c reductase 8.5 kDa protein)
Q12188	REC8	Meiotic recombination protein REC8 (Cohesin REC8) (Sporulation protein 69)
Q03530	RCE1	CAAX prenyl protease 2 (EC 3.4.22.-) (Prenyl protein-specific endoprotease 2) (PPSEP 2) (Ras and A-factor-converting enzyme) (RACE)
Q12090	REX3	RNA exonuclease 3 (EC 3.1.-.-)
P38883	RIX1	Pre-rRNA-processing protein RIX1 (Involved in processing IST2 protein 2) (Ribosomal export protein 1)
P0CX83	RPL19B	60S ribosomal protein L19-B (L23) (Large ribosomal subunit protein eL19) (RP15L) (RP33) (YL14)
P0CX43	RPL1A	60S ribosomal protein L1-A (L10a) (Large ribosomal subunit protein uL1-A)
P05745	RPL36A	60S ribosomal protein L36-A (L39) (Large ribosomal subunit protein eL36-A) (YL39)
P36070	RRN3	RNA polymerase I-specific transcription initiation factor RRN3
P48164	RPS7B	40S ribosomal protein S7-B (Small ribosomal subunit protein eS7-B)
P36047	SDS22	Protein phosphatase 1 regulatory subunit SDS22
P53313	SDA1	Protein SDA1 (Severe depolymerization of actin protein 1)
P39709	SEO1	Probable transporter SEO1
Q08826	SNX3	Sorting nexin-3 (Golgi retention deficient protein 19)
Q12420	SNU66	66 kDa U4/U6.U5 small nuclear ribonucleoprotein component
P33338	SLA2	Protein SLA2 (Transmembrane protein MOP2)
P46954	SIP4	Protein SIP4
P38960	STN1	Protein STN1
P38985	SRP14	Signal recognition particle subunit SRP14 (Signal recognition particle 14 kDa protein homolog)
P36069	PMU1	Probable phosphoglycerate mutase PMU1 (EC 5.4.-.-) (Phosphomutase homolog 1)
P38701	RPS20	40S ribosomal protein S20 (Small ribosomal subunit protein uS10)
P05756	RPS13	40S ribosomal protein S13 (S27a) (Small ribosomal subunit protein uS15) (YS15)
P25443	RPS2	40S ribosomal protein S2 (Omnipotent suppressor protein SUP44) (RP12) (S4) (Small ribosomal subunit protein uS5) (YS5)
Q07979	RSC58	Chromatin structure-remodeling complex protein RSC58 (Remodel the structure of chromatin complex subunit 58)
P26783	RPS5	40S ribosomal protein S5 (RP14) (S2) (Small ribosomal subunit protein uS7) (YS8)
Q3E7X9	RPS28A	40S ribosomal protein S28-A (S33) (Small ribosomal subunit protein eS28-A) (YS27)
P0CX30	RPS23B	40S ribosomal protein S23-B (RP37) (S28) (Small ribosomal subunit protein uS12-B) (YS14)
Q08985	SAM4	Homocysteine S-methyltransferase 2 (EC 2.1.1.10) (S-adenosylmethionine metabolism protein 4) (S-methylmethionine:homocysteine methyltransferase 2) (SMM:Hcy S-methyltransferase 2)
P40357	SEC9	Protein transport protein SEC9
Q12158	MCD1	Sister chromatid cohesion protein 1
Q00416	SEN1	Helicase SEN1 (EC 3.6.4.-) (tRNA-splicing endonuclease positive effector)
P53011	SEH1	Nucleoporin SEH1 (Nuclear pore protein SEH1) (SEC13 homolog 1)
P40510	SER33	D-3-phosphoglycerate dehydrogenase 2 (3-PGDH 2) (EC 1.1.1.95) (2-oxoglutarate reductase) (EC 1.1.1.399)
P47008	SFH5	Phosphatidylinositol transfer protein SFH5 (PITP SFH5) (SEC14 homolog 5)
P53304	SLI1	N-acetyltransferase SLI1 (EC 2.3.1.-) (Sphingosine-like immunosuppressant resistant protein 1)
Q04007	SND1	SRP-independent targeting protein 1
Q12483	SNF8	Vacuolar-sorting protein SNF8 (ESCRT-II complex subunit VPS22) (Vacuolar protein-sorting-associated protein 22)
P39723	SPC72	Spindle pole component SPC72
Q08199	SIL1	Nucleotide exchange factor SIL1 (Protein SLS1)
P53148	SPC105	Spindle pole body component SPC105 (105 kDa spindle pole component protein)
P38634	SIC1	Protein SIC1 (CDK inhibitor p40)
P36068	SHE2	SWI5-dependent HO expression protein 2
P17883	SKI3	Superkiller protein 3
Q04172	SHE9	Sensitive to high expression protein 9, mitochondrial (Mitochondrial distribution and morphology protein 33)
P22215	SLY41	Uncharacterized transporter SLY41
P41808	SMK1	Sporulation-specific mitogen-activated protein kinase SMK1 (MAP kinase SMK1) (EC 2.7.11.24)
P38699	STB5	Protein STB5
P31377	SYN8	Syntaxin-8 (SNARE protein related to mammalian syntaxin 8) (ULP1-interacting protein 2)
Q8TGM6	TAR1	Protein TAR1 (Transcript antisense to ribosomal RNA protein 1)
P38967	TAT2	Tryptophan permease (Tryptophan amino acid transporter)
P39933	PZF1	Transcription factor IIIA (TFIIIA) (Putative zinc finger protein 1)
P53147	TOS8	Homeobox protein TOS8 (Target of SBF 8)
Q12400	TRM10	tRNA (guanine(9)-N1)-methyltransferase (EC 2.1.1.221) (tRNA methyltransferase 10) (tRNA(m1G9)-methyltransferase) (tRNA(m1G9)MTase)
Q03322	TLG1	t-SNARE affecting a late Golgi compartment protein 1 (Syntaxin TLG1)
P40061	TSC11	Target of rapamycin complex 2 subunit TSC11 (TORC2 subunit TSC11) (Adheres voraciously to TOR2 protein 3) (Temperature-sensitive CSG2 suppressor protein 11)
P12695	LAT1	Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial (EC 2.3.1.12) (Dihydrolipoamide acetyltransferase component of pyruvate dehydrogenase complex) (Pyruvate dehydrogenase complex component E2) (PDC-E2) (PDCE2)
Q06144	ORM2	Protein ORM2
P53124	PCL10	PHO85 cyclin-10
P53427	PAU4	Seripauperin-4
Q02969	PEX25	Peroxisomal membrane protein PEX25 (Peroxin-25)
P40091	PEA2	Protein PEA2 (Protein PPF2)
Q08961	RKM1	Ribosomal lysine N-methyltransferase 1 (EC 2.1.1.-)
Q03195	RLI1	Translation initiation factor RLI1 (ATP-binding cassette sub-family E member RLI1) (RNase L inhibitor)
P40693	RLP7	Ribosome biogenesis protein RLP7 (Ribosomal protein L7-like)
Q12530	RMP1	Ribonuclease MRP protein subunit RMP1 (RNA-processing protein RMP1) (RNase MRP 23.6 kDa subunit)
P11745	RNA1	Ran GTPase-activating protein 1 (Protein involved in RNA production/processing)
P23369	MRPL25	54S ribosomal protein L25, mitochondrial (Mitochondrial large ribosomal subunit protein mL59) (YmL25)
P32910	RPC34	DNA-directed RNA polymerase III subunit RPC6 (RNA polymerase III subunit C6) (C34) (DNA-directed RNA polymerase III 36 kDa polypeptide)
Q08285	RRP40	Exosome complex component RRP40 (Ribosomal RNA-processing protein 40)
Q06510	TAZ1	Tafazzin (EC 2.3.1.-) (EC 2.3.1.23)
P43612	SAP155	SIT4-associating protein SAP155
P17121	SAC7	GTPase-activating protein SAC7
P53330	RTT102	Regulator of Ty1 transposition protein 102
P03878	AI4	Intron-encoded DNA endonuclease aI4 (DNA endonuclease I-SceII) [Cleaved into: Truncated non-functional cytochrome oxidase 1; DNA endonuclease aI4 (EC 3.1.-.-) (Intron-encoded endonuclease I-SceII)]
Q06245	SEC10	Exocyst complex component SEC10
P40054	SER3	D-3-phosphoglycerate dehydrogenase 1 (3-PGDH 1) (EC 1.1.1.95) (2-oxoglutarate reductase) (EC 1.1.1.399)
Q05676	SOM1	Protein SOM1, mitochondrial (Mitochondrial inner membrane protease subunit SOM1)
Q04398	SPG3	Stationary phase protein 3
P38200	SHE1	Mitotic spindle-associated protein SHE1 (Sensitive to high expression protein 1)
P43682	SFT1	Protein transport protein SFT1 (P14)
Q12078	SMF3	Iron transporter SMF3
P32828	SLX5	E3 ubiquitin-protein ligase complex SLX5-SLX8 subunit SLX5 (EC 2.3.2.27) (Hexose metabolism-related protein HEX3) (RING-type E3 ubiquitin transferase SLX5) (Synthetic lethal of unknown function protein 5)
Q08204	SMC5	Structural maintenance of chromosomes protein 5
P47821	SSN8	RNA polymerase II holoenzyme cyclin-like subunit (Suppressor of RNA polymerase B 11)
P22438	MSM1	Methionine--tRNA ligase, mitochondrial (EC 6.1.1.10) (Methionyl-tRNA synthetase) (MetRS)
Q05027	TAF9	Transcription initiation factor TFIID subunit 9 (TAFII-17) (TAFII20) (TBP-associated factor 17 kDa) (TBP-associated factor 9)
P27796	POT1	3-ketoacyl-CoA thiolase, peroxisomal (EC 2.3.1.16) (Acetyl-CoA acyltransferase) (Beta-ketothiolase) (Peroxisomal 3-oxoacyl-CoA thiolase)
P33315	TKL2	Transketolase 2 (TK 2) (EC 2.2.1.1)
P32367	TFC1	Transcription factor tau 95 kDa subunit (TFIIIC 95 kDa subunit) (Transcription factor C subunit 1)
Q07527	TRM3	tRNA (guanosine(18)-2'-O)-methyltransferase (EC 2.1.1.34) (tRNA [Gm18] ribose methylase) (tRNA methyltransferase 3)
Q05024	TRI1	Protein TRI1
P39704	ERP2	Protein ERP2
Q08649	ESA1	Histone acetyltransferase ESA1 (EC 2.3.1.48)
P25340	ERG4	Delta(24(24(1)))-sterol reductase (EC 1.3.1.71) (C-24(28) sterol reductase) (Sterol Delta(24(28))-reductase)
P53233	FMP48	Probable serine/threonine-protein kinase FMP48 (EC 2.7.11.1) (Found in mitochondrial proteome protein 48)
Q04739	GAL83	SNF1 protein kinase subunit beta-3 (Glucose repression protein GAL83) (Protein SPM1)
P38785	GIC1	GTPase-interacting component 1
P53260	GTF1	Glutamyl-tRNA(Gln) amidotransferase subunit F, mitochondrial (Glu-AdT subunit F) (EC 6.3.5.-)
Q00055	GPD1	Glycerol-3-phosphate dehydrogenase [NAD(+)] 1 (EC 1.1.1.8)
P18494	GLN3	Nitrogen regulatory protein GLN3
P17695	GRX2	Glutaredoxin-2 (EC 1.11.1.9) (EC 2.5.1.18) (Glutathione-dependent oxidoreductase 2) (Thioltransferase)
P39003	HXT6	High-affinity hexose transporter HXT6
Q08118	IRC10	Uncharacterized protein IRC10 (Increased recombination centers protein 10)
Q99393	IZH4	ADIPOR-like receptor IZH4 (Implicated in zinc homeostasis protein 4)
P21190	IME1	Meiosis-inducing protein 1
P24583	PKC1	Protein kinase C-like 1 (PKC 1) (EC 2.7.11.13)
Q08045	LCL2	Long chronological lifespan protein 2
Q02796	LGE1	Transcriptional regulatory protein LGE1 (Large cells protein 1)
P36146	LAS1	Protein LAS1
P07866	LTE1	Guanine nucleotide exchange factor LTE1 (Low temperature essential protein 1)
Q06213	NUT2	Mediator of RNA polymerase II transcription subunit 10 (Mediator complex subunit 10) (Negative regulator of URS2 protein 2)
P38855	PEX18	Peroxisomal membrane protein PEX18 (Peroxin-18)
P38361	PHO89	Phosphate permease PHO89 (Na(+)/Pi cotransporter PHO89)
P35842	PHO11	Acid phosphatase PHO11 (EC 3.1.3.2) (P56)
P32838	PPG1	Serine/threonine-protein phosphatase PP2A-like PPG1 (EC 3.1.3.16)
Q12017	PLP2	Phosducin-like protein 2 (Viral IAP-associated factor 1 homolog)
Q04004	PLP1	Phosducin-like protein 1
P38768	PIH1	Protein interacting with Hsp90 1 (Nucleolar protein 17)
P40212	RPL13B	60S ribosomal protein L13-B (Large ribosomal subunit protein eL13-B)
P10622	RPP1B	60S acidic ribosomal protein P1-beta (Ax) (L12eIIB) (L44') (Large ribosomal subunit protein P1-B) (P1B) (YP1beta)
P10664	RPL4A	60S ribosomal protein L4-A (L2) (Large ribosomal subunit protein uL4-A) (RP2) (YL2)
P40993	SNM1	Ribonuclease MRP protein subunit SNM1 (RNA-processing protein SNM1) (RNase MRP 22.5 kDa subunit)
Q08162	DIS3	Exosome complex exonuclease DIS3 (EC 3.1.13.-) (EC 3.1.26.-) (Chromosome disjunction protein 3) (Ribosomal RNA-processing protein 44)
P53599	SSK2	MAP kinase kinase kinase SSK2 (EC 2.7.11.25) (Suppressor of sensor kinase 2)
Q12378	RTR2	RNA polymerase II subunit B1 CTD phosphatase RTR2 (EC 3.1.3.16) (RNA polymerase II-associated protein 2 homolog RTR2) (Regulator of transcription 2)
Q02608	MRPS16	37S ribosomal protein S16, mitochondrial (Mitochondrial small ribosomal subunit protein bS16m)
P34758	SCD5	Protein SCD5 (Protein FTB1)
P43589	SAD1	Pre-mRNA-splicing factor SAD1 (snRNP assembly-defective protein 1)
P38850	RTT107	Regulator of Ty1 transposition protein 107 (Establishes silent chromatin protein 4)
Q04003	SAS4	Something about silencing protein 4
P38314	SDS24	Protein SDS24
P40316	PDS1	Securin
P20606	SAR1	Small COPII coat GTPase SAR1 (EC 3.6.5.-) (GTP-binding protein SAR1) (Secretion-associated RAS-related protein 1)
P29478	SEC65	Signal recognition particle subunit SEC65
P53207	SNU71	U1 small nuclear ribonucleoprotein component SNU71
P38343	SLM6	Protein SLM6 (Synthetic lethal with MSS4 protein 6)
P43544	SNO3	Probable pyridoxal 5'-phosphate synthase subunit SNO3 (EC 4.3.3.6) (PDX2 homolog 3) (Pdx2.3) (Pyridoxal 5'-phosphate synthase glutaminase subunit) (EC 3.5.1.2)
Q12212	SIA1	Protein SIA1
P36169	SKG1	Suppressor of lethality of KEX2 GAS1 double null mutant protein 1
P38272	SHE3	SWI5-dependent HO expression protein 3
P06701	SIR3	Regulatory protein SIR3 (Silent information regulator 3)
Q07478	SUB2	ATP-dependent RNA helicase SUB2 (EC 3.6.4.13) (Suppressor of BRR1 protein 2)
Q08553	SYC1	Protein SYC1
P35189	TAF14	Transcription initiation factor TFIID subunit 14 (Actin non-complementing mutant 1) (Chromosome stability protein 10) (SWI/SNF chromatin-remodeling complex subunit TAF14) (SWI/SNF complex 29 kDa subunit) (SWI/SNF complex subunit TAF14) (TBP-associated factor 14) (TBP-associated factor 30 kDa) (Transcription factor G 30 kDa subunit) (Transcription initiation factor TFIIF 30 kDa subunit)
Q03750	TAF8	Transcription initiation factor TFIID subunit 8 (TAFII-65) (TBP-associated factor 65 kDa) (TBP-associated factor 8)
Q06836	SYT1	Arf guanine nucleotide exchange factor SYT1 (Arf-GEF SYT1) (Suppressor of YPT3 protein 1)
P47180	PGU1	Polygalacturonase (PG) (EC 3.2.1.15) (PGase SM) (Pectinase)
Q12459	PRM7	Pheromone-regulated protein PRM7
P32606	PET127	Putative mitochondrial translation system component PET127
P25611	RDS1	Regulator of drug sensitivity 1
Q00246	RHO4	GTP-binding protein RHO4
