bait	baitGene	prey	preyGene	Quant (SPC or Intensities)	User Controls (SPC or Intensities)	CRAP Controls (SPC)	Avg. SPC	FCA	FCB	SP	iRef	intAct	iRef-Evidence	intAct-Evidence
P32494	NGG1	P53040	TAF6	63|68|64|78	13|14|9|15	-	68.25	4.97884930691	4.59595164706	0.99	1	1	 || pubmed:14718168|pubmed:11777910|pubmed:9844640|pubmed:15657441|pubmed:9488488|pubmed:10788514|pubmed:11805826|pubmed:16554755|pubmed:12052880|pubmed:16429126|pubmed:25216679|pubmed:21734642 ||  ||  ||  ||  ||  ||  ||  || 	 || pubmed:14718168|pubmed:11777910|pubmed:9844640|pubmed:15657441|pubmed:9488488|pubmed:10788514|pubmed:11805826|pubmed:16554755|pubmed:12052880|pubmed:16429126|pubmed:25216679|pubmed:21734642 ||  ||  ||  ||  ||  ||  ||  || 
P32494	NGG1	P23748	MIH1	0|0|1|0	1|4|1|4	-	0.25	0.361357199039	0.302471966465	0.0	0	0	na	na
P32494	NGG1	P40161	RTT106	7|7|6|8	0|1|0|0	-	7.0	6.39938469888	5.99803904622	0.99	0	0	na	na
P32494	NGG1	P40160	RIO2	24|22|24|21	1|0|0|0	-	22.75	18.6344268866	17.4190044437	1.0	0	0	na	na
P32494	NGG1	P07245	ADE3	34|21|30|25	40|48|40|44	-	27.5	0.63718233845	0.620668260528	0.0	0	0	na	na
P32494	NGG1	P07244	ADE5,7	3|4|2|4	49|53|37|41	-	3.25	0.0917405624373	0.0859428791078	0.0	0	0	na	na
P32494	NGG1	Q12297	TAF3	1|0|0|0	2|1|1|2	-	0.25	0.494210686383	0.438214820963	0.0	0	0	na	na
P32494	NGG1	P07248	ADR1	17|16|15|26	14|15|17|15	-	18.5	1.1765290776	1.1239208519	0.0	0	0	na	na
P32494	NGG1	P14741	GCN3	0|0|0|1	4|4|6|6	-	0.25	0.20577053801	0.18316898861	0.0	0	0	na	na
P32494	NGG1	P14742	GFA1	8|6|2|6	54|56|57|60	-	5.5	0.110710927505	0.100321357117	0.0	0	0	na	na
P32494	NGG1	P00958	MES1	1|0|2|1	29|34|36|24	-	1.0	0.0620705819508	0.0539463916058	0.0	0	0	na	na
P32494	NGG1	P40302	PRE5	1|2|2|2	15|15|13|14	-	1.75	0.179092218962	0.173962480719	0.0	0	0	na	na
P32494	NGG1	P38968	SEC31	9|8|7|12	23|18|19|18	-	9.0	0.478243691041	0.451266791304	0.0	0	0	na	na
P32494	NGG1	P40090	SCC4	4|1|2|3	0|2|1|1	-	2.5	1.73491680922	1.41681138164	0.37	0	0	na	na
P32494	NGG1	P33775	PMT1	0|0|0|2	0|0|0|0	-	0.5	1.48201434799	1.30811189923	0.09	0	0	na	na
P32494	NGG1	P40094	COG3	2|1|2|1	2|7|5|6	-	1.5	0.41505024984	0.35038244969	0.0	0	0	na	na
P32494	NGG1	P36124	SET3	14|13|8|11	0|0|0|1	-	11.5	9.8719496475	9.08319932606	1.0	0	0	na	na
P32494	NGG1	P36120	DBP7	0|0|0|1	0|0|0|0	-	0.25	1.24100717399	1.18382350095	0.0	0	0	na	na
P32494	NGG1	P15180	KRS1	10|7|5|9	46|49|54|44	-	7.75	0.174259624588	0.165317801598	0.0	0	0	na	na
P32494	NGG1	P36123	SAP190	5|3|6|2	7|4|7|5	-	4.0	0.724392839947	0.623965972993	0.0	0	0	na	na
P32494	NGG1	P38287	CSH1	0|2|3|2	0|1|0|0	-	1.75	2.22084704077	1.86253589646	0.61	0	0	na	na
P32494	NGG1	P30605	ITR1	4|3|3|10	10|12|10|22	-	5.0	0.406312425186	0.345641495212	0.0	0	0	na	na
P32494	NGG1	P0CX31;P0CX32	P0CX31;P0CX32	35|31|35|37	29|27|24|27	-	34.5	1.25812702867	1.23357089002	0.0	0	0	na	na
P32494	NGG1	Q08986	SAM3	1|1|0|2	7|5|5|8	-	1.0	0.272268947149	0.236720898879	0.0	0	0	na	na
P32494	NGG1	P39960	BEM2	12|13|8|18	0|1|0|1	-	12.75	9.13265608869	7.96826695802	1.0	0	0	na	na
P32494	NGG1	P40541	IRR1	38|31|49|45	3|2|1|1	-	40.75	14.9358542803	13.5279078167	1.0	0	0	na	na
P32494	NGG1	P06780	RHO1	0|0|0|1	0|0|1|0	-	0.25	0.983132955658	0.877080918505	0.0	0	0	na	na
P32494	NGG1	P40546	FAF1	13|15|12|15	1|0|1|0	-	13.75	9.58900976625	8.56488987859	1.0	0	0	na	na
P32494	NGG1	P39969	BOI2	4|3|3|7	2|1|1|0	-	4.25	2.56878720966	2.11747401406	0.65	0	0	na	na
P32494	NGG1	P39968	VAC8	2|1|1|2	2|2|0|1	-	1.5	1.10608892249	0.918210469594	0.03	0	0	na	na
P32494	NGG1	P25348	MRPL32	1|0|2|1	0|0|0|0	-	1.0	1.97438963216	1.83919208973	0.44	0	0	na	na
P32494	NGG1	P38922	HRB1	16|18|21|19	14|13|16|14	-	18.5	1.25638743316	1.19332167348	0.0	0	0	na	na
P32494	NGG1	P20433	RPB4	8|10|11|10	5|5|3|3	-	9.75	2.13100774004	1.98467863815	0.3	0	0	na	na
P32494	NGG1	P41057	RPS29A	15|15|11|16	10|10|12|8	-	14.25	1.36158875509	1.27090535635	0.0	0	0	na	na
P32494	NGG1	P25342	CDC10	2|3|3|4	20|20|17|18	-	3.0	0.200416711996	0.194173560221	0.0	0	0	na	na
P32494	NGG1	P25343	RVS161	7|4|3|5	29|33|30|33	-	4.75	0.175356228724	0.167829619669	0.0	0	0	na	na
P32494	NGG1	P54780	RPL15B	35|50|40|41	24|22|22|20	-	41.5	1.82393788584	1.74982342979	0.06	0	0	na	na
P32494	NGG1	P38768	PIH1	4|7|6|8	9|11|8|8	-	6.25	0.719539676963	0.679476523183	0.0	0	0	na	na
P32494	NGG1	P0C2I5;Q12414	P0C2I5;Q12414	64|63|59|66	45|57|50|52	-	63.0	1.21418954581	1.17719308433	0.0	0	0	na	na
P32494	NGG1	P38764	RPN1	51|56|55|56	64|62|65|61	-	54.5	0.853273412445	0.829083638596	0.0	0	0	na	na
P32494	NGG1	P38766	RRM3	5|5|5|3	2|5|2|1	-	4.5	1.57651897362	1.36021390778	0.06	0	0	na	na
P32494	NGG1	Q03233	ADD37	0|0|1|0	0|1|0|0	-	0.25	1.01096695161	0.905544960869	0.0	0	0	na	na
P32494	NGG1	P22082	SNF2	12|6|10|16	0|0|1|1	-	11.0	7.77080974956	6.69147772398	1.0	1	1	 || pubmed:9858534 ||  ||  ||  ||  ||  ||  ||  || 	 || pubmed:9858534 ||  ||  ||  ||  ||  ||  ||  || 
P32494	NGG1	P38144	ISW1	37|32|37|44	3|2|7|1	-	37.5	8.76029711784	7.39913589858	1.0	0	0	na	na
P32494	NGG1	P38121	POL12	4|1|0|0	0|0|0|0	-	1.25	2.21596547895	1.77023998601	0.2	0	0	na	na
P32494	NGG1	P38149	DUG2	6|6|2|8	0|0|0|0	-	5.5	6.40776350035	5.95638356027	0.92	0	0	na	na
P32494	NGG1	Q3E7B2	COA3	0|0|0|1	1|2|0|0	-	0.25	0.72007843996	0.602584192787	0.0	0	0	na	na
P32494	NGG1	P51601	FOL2	28|29|27|35	0|0|1|2	-	29.75	17.1996097198	14.9675944476	1.0	0	0	na	na
P32494	NGG1	P16522	CDC23	0|0|2|1	0|0|0|0	-	0.75	1.73494388355	1.55484088648	0.17	0	0	na	na
P32494	NGG1	P16521	YEF3	29|29|30|33	44|47|45|47	-	30.25	0.658093598346	0.648579444875	0.0	0	0	na	na
P32494	NGG1	P26570;P33329	P26570;P33329	1|0|0|0	0|0|0|0	-	0.25	1.2394457486	1.18288122323	0.0	0	0	na	na
P32494	NGG1	Q12522	TIF6	11|15|18|10	7|7|4|7	-	13.5	1.98757895684	1.76700625747	0.28	0	0	na	na
P32494	NGG1	P30771	NAM7	7|3|5|6	11|12|16|17	-	5.25	0.407077219445	0.372925503359	0.0	0	0	na	na
P32494	NGG1	P49956	CTF18	3|2|1|0	3|6|4|5	-	1.5	0.453918583411	0.371690893165	0.0	0	0	na	na
P32494	NGG1	P49955	HSH155	2|0|2|1	1|2|1|0	-	1.25	1.11487133075	0.877900570037	0.03	0	0	na	na
P32494	NGG1	Q12510	CMR1	9|10|11|14	0|1|0|0	-	11.0	9.58909780733	8.92350412506	1.0	0	0	na	na
P32494	NGG1	Q12514	NOT5	8|5|3|5	21|22|17|16	-	5.25	0.308005104243	0.282417436553	0.0	0	0	na	na
P32494	NGG1	Q12515	PAR32	2|2|2|3	0|0|0|1	-	2.25	2.57070891097	2.39336228863	0.79	0	0	na	na
P32494	NGG1	Q12517	DCP1	0|1|0|0	3|3|4|4	-	0.25	0.278522429987	0.25105867946	0.0	0	0	na	na
P32494	NGG1	Q07362	PBP4	4|8|5|6	12|14|13|16	-	5.75	0.45453637364	0.427919247571	0.0	0	0	na	na
P32494	NGG1	P41058	RPS29B	27|24|22|24	21|28|18|14	-	24.25	1.17692380121	1.07049632434	0.0	0	0	na	na
P32494	NGG1	Q07351	STP4	0|0|0|1	0|0|0|1	-	0.25	0.993167798815	0.888272400674	0.0	0	0	na	na
P32494	NGG1	P0CX35;P0CX36	P0CX35;P0CX36	70|66|70|58	49|58|56|65	-	66.0	1.13870766928	1.09247386517	0.0	0	0	na	na
P32494	NGG1	Q04338	VTI1	9|8|6|6	0|4|0|0	-	7.25	4.21370980875	3.58313081366	0.96	0	0	na	na
P32494	NGG1	P29509	TRR1	2|2|2|3	2|1|2|2	-	2.25	1.15954872673	1.04612787509	0.02	0	0	na	na
P32494	NGG1	Q04336	YMR196W	2|2|3|2	15|21|17|22	-	2.25	0.163362694916	0.153416688897	0.0	0	0	na	na
P32494	NGG1	P35817	BDF1	27|23|28|27	0|1|2|3	-	26.25	10.7016595362	8.90335061154	1.0	0	0	na	na
P32494	NGG1	P18480	SNF5	7|8|5|8	16|19|13|25	-	7.0	0.411934416121	0.376487682401	0.0	0	0	na	na
P32494	NGG1	P0C0W1;Q3E7Y3	P0C0W1;Q3E7Y3	12|14|11|10	8|8|7|9	-	11.75	1.40132567197	1.35517879428	0.0	0	0	na	na
P32494	NGG1	P34078	LTV1	30|34|30|32	3|4|1|1	-	31.5	9.9783083285	8.8356022829	1.0	0	0	na	na
P32494	NGG1	P41895	TFG1	2|2|1|1	0|0|0|0	-	1.5	2.48323199505	2.43046161608	0.58	0	0	na	na
P32494	NGG1	P14906	SEC63	0|1|0|1	3|2|1|1	-	0.5	0.545481685665	0.471423117914	0.0	0	0	na	na
P32494	NGG1	P14907	NSP1	3|2|4|3	20|19|21|27	-	3.0	0.17295872242	0.160920385908	0.0	0	0	na	na
P32494	NGG1	P14904	APE1	4|3|5|4	15|15|14|15	-	4.0	0.312789791825	0.305179571761	0.0	0	0	na	na
P32494	NGG1	Q12149	RRP6	15|11|14|11	0|0|0|0	-	12.75	13.5403294398	13.4459714643	1.0	1	1	 || pubmed:27708008 ||  ||  ||  ||  ||  ||  ||  || 	 || pubmed:27708008 ||  ||  ||  ||  ||  ||  ||  || 
P32494	NGG1	P47019	ALB1	11|15|15|17	3|4|7|3	-	14.5	2.89483445369	2.64441475953	0.78	0	0	na	na
P32494	NGG1	P29478	SEC65	13|8|9|12	12|11|8|15	-	10.5	0.904311497035	0.825147673398	0.0	0	0	na	na
P32494	NGG1	P09547	SWI1	14|9|9|13	1|3|8|3	-	11.25	2.50457007422	2.0716833195	0.5	1	1	 || pubmed:9858534|pubmed:9343382 ||  ||  ||  ||  ||  ||  ||  || 	 || pubmed:9858534|pubmed:9343382 ||  ||  ||  ||  ||  ||  ||  || 
P32494	NGG1	P39706	SWD1	1|1|0|0	0|0|0|0	-	0.5	1.49762823314	1.41241089466	0.0	0	0	na	na
P32494	NGG1	Q00764	TPS1	4|3|5|6	14|14|14|15	-	4.5	0.354378612922	0.339025423388	0.0	0	0	na	na
P32494	NGG1	P32454	APE2	3|3|0|0	5|2|1|2	-	1.5	0.710016521155	0.499222652907	0.0	0	0	na	na
P32494	NGG1	P32457	CDC3	2|2|3|1	29|23|20|27	-	2.0	0.115426407308	0.106720510258	0.0	0	0	na	na
P32494	NGG1	Q08287	NOP8	11|10|9|12	0|0|1|1	-	10.5	7.49451589104	6.71005125	1.0	0	0	na	na
P32494	NGG1	Q08285	RRP40	1|3|2|2	0|0|1|0	-	2.0	2.36865088208	2.14232695574	0.74	0	0	na	na
P32494	NGG1	P32854	PEP12	3|3|2|0	0|0|0|0	-	2.0	2.98682140898	2.62161352924	0.63	0	0	na	na
P32494	NGG1	P32857	PTM1	0|2|0|0	0|1|0|0	-	0.5	1.22937752545	1.00910590033	0.18	0	0	na	na
P32494	NGG1	P32634	PMD1	2|1|2|2	3|2|3|2	-	1.75	0.770194629664	0.716596085937	0.0	0	0	na	na
P32494	NGG1	P53289	RTS3	0|0|0|2	0|0|1|0	-	0.5	1.17406021238	0.969164732046	0.19	0	0	na	na
P32494	NGG1	P46655	GUS1	16|10|8|4	38|41|26|32	-	9.5	0.294738044543	0.252779651129	0.0	0	0	na	na
P32494	NGG1	P46654	RPS0B	16|14|15|16	16|18|15|16	-	15.25	0.928767669417	0.91966563286	0.0	0	0	na	na
P32494	NGG1	P53280	CAF130	1|0|0|0	0|0|0|0	-	0.25	1.2394457486	1.18288122323	0.0	1	1	 || pubmed:17314980 ||  ||  ||  ||  ||  ||  ||  || 	 || pubmed:17314980 ||  ||  ||  ||  ||  ||  ||  || 
P32494	NGG1	P53738	TRM112	2|4|3|5	0|0|0|1	-	3.5	3.56735037438	3.2340383702	0.91	0	0	na	na
P32494	NGG1	P53739	FPK1	0|0|1|0	0|1|1|2	-	0.25	0.625100591961	0.510394219367	0.0	0	0	na	na
P32494	NGG1	P09032	GCD1	2|3|3|1	5|6|4|7	-	2.25	0.499328410398	0.449627077299	0.0	0	0	na	na
P32494	NGG1	Q01560	NPL3	24|30|28|33	26|23|25|25	-	28.75	1.13643940354	1.08120704356	0.0	0	0	na	na
P32494	NGG1	P53733	RSM19	0|1|2|2	0|0|0|0	-	1.25	2.23413354208	2.05146358501	0.57	0	0	na	na
P32494	NGG1	P53734	DBP6	10|5|8|9	0|0|1|1	-	8.0	5.84067452297	5.14547494396	0.99	0	0	na	na
P32494	NGG1	P08524	ERG20	2|1|2|2	4|7|3|4	-	1.75	0.498226526039	0.456055795062	0.0	0	0	na	na
P32494	NGG1	P12687	MRP7	2|4|2|6	0|0|0|2	-	3.5	2.96953836943	2.50305703275	0.8	0	0	na	na
P32494	NGG1	P52489	PYK2	1|0|0|0	14|15|14|12	-	0.25	0.0839730639785	0.0770405378201	0.0	0	0	na	na
P32494	NGG1	P43535	GCN20	6|2|3|2	44|49|52|42	-	3.25	0.0872769102424	0.0795353779992	0.0	0	0	na	na
